exp,exp_no,phyto,source,tp,datetime,date,time,plot_date,plot_datetime,mean_Fo,sd_Fo,mean_Fm,sd_Fm,mean_Fv,sd_Fv,mean_Fv_Fm,sd_Fv_Fm,mean_Fv_Fo,sd_Fv_Fo,mean_cells,sd_cells,mean_grn,sd_grn,mean_yel,sd_yel,mean_red,sd_red,mean_fsc,sd_fsc,mean_ssc,sd_ssc,poc_culture,sd_poc_culture,pon_culture,sd_pon_culture,poc_optics,sd_poc_optics,pon_optics,sd_pon_optics,mean_cn,sd_cn,wl,mean_cp,sd_cp,mean_ap,sd_ap,mean_bp,sd_bp,mean_abs_line_height,sd_abs_line_height,mean_chl_line_height,sd_chl_line_height
SYN22-4,1,italic('Synechococcus ') (WH8102),Culture,4,2022-08-16T15:00:00Z,2022-08-16,15:00:00,2022-11-27,2022-11-27T15:00:00Z,47.703500000000005,1.2112739161725563,61.5545,2.2153655454574555,13.8505,1.0033845225037112,0.2249,0.00820243866176395,0.29015,0.01364716087690035,7682722.5,717674.4920313805,1.546513446889178,0.01427691421071855,1.3573629178751918,0.02341150235877767,0.4591138305861237,0.00927260734419905,1.768470921294913,0.00835251553569394,2.143428604600413,9.657990220946992e-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SYN22-4,1,italic('Synechococcus ') (WH8102),Culture,5,2022-08-16T17:00:00Z,2022-08-16,17:00:00,2022-11-27,2022-11-27T17:00:00Z,56.3835,2.3412305525086587,78.24600000000001,2.590839246267511,21.8625,0.24960869375885236,0.27949999999999997,0.0060811183182043,0.388,0.01173797256769669,7365085,397599.0719933838,1.5571722660578629,0.03785380898091001,1.3415552164757545,0.04667598787410058,0.43564449399013067,0.01097116758524755,1.890383626888021,0.02016804721838535,2.19933817337743,0.00913857326235885,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SYN22-4,1,italic('Synechococcus ') (WH8102),Culture,6,2022-08-16T19:00:00Z,2022-08-16,19:00:00,2022-11-27,2022-11-27T19:00:00Z,59.86750000000001,1.8066578259316288,89.715,4.501441769033561,29.848,2.694076836320745,0.33235000000000003,0.01336431816442572,0.4981,0.02998132752230961,9003275,57770.62402294093,1.5401122481856542,0.03367309054517427,1.3383926906223405,0.04865965782653617,0.45315814706351426,0.009116051904141,1.911770674612273,0.02653738782834581,2.209601580561941,0.01840627537302801,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SYN22-4,1,italic('Synechococcus ') (WH8102),Culture,7,2022-08-16T21:00:00Z,2022-08-16,21:00:00,2022-11-27,2022-11-27T21:00:00Z,54.3275,5.989901543431246,97.7255,13.353711562707954,43.3985,7.364517126057891,0.44305,0.01477853172679886,0.7962,0.04780041840821061,10477490,789626.1425510176,1.5332493667435247,0.04024415749864098,1.334998452015019,0.06008013852530281,0.4573100948932596,0.01803875576891421,1.9040019032886513,0.01246429338347541,2.2227294176595187,0.0062520857796829,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SYN22-4,1,italic('Synechococcus ') (WH8102),Culture,8,2022-08-16T23:00:00Z,2022-08-16,23:00:00,2022-11-27,2022-11-27T23:00:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10547415,489720.9434463672,1.516817995337648,0.02987143360661408,1.3050735926863195,0.01399957810895373,0.4589609426248889,0.00208994215666204,1.8568978433342611,0.00453324717561006,2.2235632799425593,0.00882575596240721,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SYN22-4,1,italic('Synechococcus ') (WH8102),Culture,9,2022-08-17T03:00:00Z,2022-08-17,03:00:00,2022-11-28,2022-11-28T03:00:00Z,62.6135,11.50674865024869,124.165,23.38967810808862,61.5515,11.882929457839923,0.4955,0.00240416305603423,0.9822,0.00933380951166242,9878205,49278.2715808905,1.531283026580062,0.02928466171925648,1.3415303765018556,0.02410091012317782,0.4560560849840648,0.00798809226240421,1.7775109599122454,0.00714536389901613,2.2414664962517836,0.01395687616888466,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SYN22-4,1,italic('Synechococcus ') (WH8102),Culture,10,2022-08-17T07:00:00Z,2022-08-17,07:00:00,2022-11-28,2022-11-28T07:00:00Z,60.066500000000005,6.650339277059485,106.477,15.875961451200364,46.4105,9.225622174140884,0.43425,0.02184959953866431,0.76885,0.06851864709697644,10034122.5,1165640.780048682,1.5153295079110256,0.01233677406290285,1.3356914022674164,0.00912666456663055,0.4561829399903238,0.00288993232392357,1.682527330030273,0.02733176516530194,2.220505910757697,0.01886065004870094,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SYN22-4,1,italic('Synechococcus ') (WH8102),Culture,11,2022-08-17T09:00:00Z,2022-08-17,09:00:00,2022-11-28,2022-11-28T09:00:00Z,69.03399999999999,0.3634528855298824,121.6295,0.25950818869546605,52.5955,0.1025304832720466,0.43245,0.00176776695296633,0.7619,0.00551543289325509,9632230,152218.8767860281,1.5218764770049091,0.00436447755437558,1.3389050086784935,0.00470977947590542,0.4540354354257597,0.00504078039457491,1.6516683078401213,0.00674269567645264,2.198894176216722,0.04007634225247921,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SYN22-4,1,italic('Synechococcus ') (WH8102),Culture,12,2022-08-17T11:00:00Z,2022-08-17,11:00:00,2022-11-28,2022-11-28T11:00:00Z,79.6275,5.308250606367416,114.0395,3.5037141007793418,34.411500000000004,1.803829398806879,0.30215000000000003,0.02510229073212246,0.43385,0.05154808434849933,10865017.5,12229.41178062134,1.555146778349287,1.2648390272684512e-5,1.3563514708794682,3.7188403209872305e-4,0.4624578166503802,5.980001476549628e-4,1.6495243827889,0.02542116485577073,2.201286894953692,0.01314897306201893,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SYN22-4,1,italic('Synechococcus ') (WH8102),Culture,13,2022-08-17T13:00:00Z,2022-08-17,13:00:00,2022-11-28,2022-11-28T13:00:00Z,69.9345,5.161172395880615,100.0145,10.348507742665117,30.0805,5.186628240003324,0.29964999999999997,0.02085965004500317,0.42855,0.0424971175493115,10722170,873489.0067997421,1.5471078097151751,0.0093037568440896,1.3389492370890508,7.275444991760269e-4,0.45553028460638006,0.00178849472315117,1.7150674446385874,0.02042008209956782,2.1883489448575606,0.01220279616864413,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
