exp,exp_no,phyto,source,tp,date,time,plot_date,plot_datetime,wl,mean_cp,sd_cp,mean_ap,sd_ap,mean_bp,sd_bp,mean_abs_line_height,sd_abs_line_height,mean_chl_line_height,sd_chl_line_height,mean_cells,sd_cells,mean_grn,sd_grn,mean_yel,sd_yel,mean_red,sd_red,mean_fsc,sd_fsc,mean_ssc,sd_ssc,mean_bbp,sd_bbp,mean_bb_b,sd_bb_b
SYN22-5,2,italic('Synechococcus ') (WH8102),Optics,4,2022-08-24,15:00:00,2022-11-27,2022-11-27T15:00:00Z,470,1.2235685297955974,0.10531464671990784,0.07847571848914459,0.02125456718829374,1.145092811306453,0.08760949573766942,0.04988102065101144,0.00188253370885324,4.420072903643674,0.1344666934895174,74817.33333333333,30110.92035015425,1.4570639743867286,0.02024236882376102,1.2340598083761618,0.01050403863789891,0.3784717080098554,0.00879580059937166,1.6973078764326217,0.00911660753445818,2.1301746698897346,0.01619884591761952,0.0026015206209500817,5.653901078641619e-4,0.002274073499843766,4.802058785396331e-4
SYN22-5,2,italic('Synechococcus ') (WH8102),Optics,4,2022-08-24,15:00:00,2022-11-27,2022-11-27T15:00:00Z,532,0.9421505112943264,0.0917693833268472,0.0079247561508047,0.01076384658448547,0.9342257551435216,0.08262732511520984,0.04988102065101144,0.00188253370885324,4.420072903643674,0.1344666934895174,74817.33333333333,30110.92035015425,1.4570639743867286,0.02024236882376102,1.2340598083761618,0.01050403863789891,0.3784717080098554,0.00879580059937166,1.6973078764326217,0.00911660753445818,2.1301746698897346,0.01619884591761952,0.002963034792147705,4.213444749255449e-4,0.00316169909775838,1.8890385970080285e-4
SYN22-5,2,italic('Synechococcus ') (WH8102),Optics,4,2022-08-24,15:00:00,2022-11-27,2022-11-27T15:00:00Z,660,0.5944504894413989,0.0745477409098644,0.03022222443690538,0.00495217539442878,0.5642282650044935,0.07042441440748683,0.04988102065101144,0.00188253370885324,4.420072903643674,0.1344666934895174,74817.33333333333,30110.92035015425,1.4570639743867286,0.02024236882376102,1.2340598083761618,0.01050403863789891,0.3784717080098554,0.00879580059937166,1.6973078764326217,0.00911660753445818,2.1301746698897346,0.01619884591761952,0.0033790171405319353,3.531744440162684e-4,0.006000067060581593,2.1057651798581063e-4
SYN22-5,2,italic('Synechococcus ') (WH8102),Optics,5,2022-08-24,17:00:00,2022-11-27,2022-11-27T17:00:00Z,470,1.5166935091194969,0.16772897412013205,0.10427673081851307,0.0362236926485826,1.4124167783009838,0.13224228143436131,0.05528151732751608,0.00613117455237646,4.8058226662511485,0.4379410394554614,102561.33333333331,31555.90596597305,1.4552832243969944,0.01462032112494485,1.2352072021099048,0.00817835521317571,0.38260233097741686,0.00808573597551504,1.7552544855903212,0.01112236351090224,2.135976100942771,0.02699288975454151,0.002466653222930727,7.255095095761433e-4,0.0017323864791519298,4.3458998239350854e-4
SYN22-5,2,italic('Synechococcus ') (WH8102),Optics,5,2022-08-24,17:00:00,2022-11-27,2022-11-27T17:00:00Z,532,1.1629301264539007,0.13520151588708748,0.00722199418207163,0.01590334319152433,1.1557081322718292,0.12057247019728104,0.05528151732751608,0.00613117455237646,4.8058226662511485,0.4379410394554614,102561.33333333331,31555.90596597305,1.4552832243969944,0.01462032112494485,1.2352072021099048,0.00817835521317571,0.38260233097741686,0.00808573597551504,1.7552544855903212,0.01112236351090224,2.135976100942771,0.02699288975454151,0.0031548313793156057,4.92363487624656e-4,0.0027210141125364995,1.5730211728759547e-4
SYN22-5,2,italic('Synechococcus ') (WH8102),Optics,5,2022-08-24,17:00:00,2022-11-27,2022-11-27T17:00:00Z,660,0.7352237723933824,0.10091521135545815,0.03283047330602469,0.00962133533454904,0.7023932990873577,0.09357582504758848,0.05528151732751608,0.00613117455237646,4.8058226662511485,0.4379410394554614,102561.33333333331,31555.90596597305,1.4552832243969944,0.01462032112494485,1.2352072021099048,0.00817835521317571,0.38260233097741686,0.00808573597551504,1.7552544855903212,0.01112236351090224,2.135976100942771,0.02699288975454151,0.003738449204993865,5.296792046386709e-4,0.005323342697541304,3.0173523660285517e-4
SYN22-5,2,italic('Synechococcus ') (WH8102),Optics,6,2022-08-24,19:00:00,2022-11-27,2022-11-27T19:00:00Z,470,1.7188783568396226,0.09413920510397762,0.10753444370369,0.03570403585358191,1.6113439131359326,0.09237922621067002,0.05772301853266713,0.00291150362044232,4.9802156094762235,0.20796454431730912,114821.33333333331,21146.651775951043,1.4673738100270284,0.04363335744021308,1.2353143358592036,0.02346841499433178,0.3886646268426546,0.01032184367234139,1.7934370710801273,0.01861935443440976,2.134428320886152,0.03938567674250637,0.003043253558000341,3.3762303794864217e-4,0.0018866158895983482,1.5090699543732108e-4
SYN22-5,2,italic('Synechococcus ') (WH8102),Optics,6,2022-08-24,19:00:00,2022-11-27,2022-11-27T19:00:00Z,532,1.3352009512588652,0.07874552831583143,0.00611914057733528,0.01097752040808794,1.32908181068153,0.07815687000852338,0.05772301853266713,0.00291150362044232,4.9802156094762235,0.20796454431730912,114821.33333333331,21146.651775951043,1.4673738100270284,0.04363335744021308,1.2353143358592036,0.02346841499433178,0.3886646268426546,0.01032184367234139,1.7934370710801273,0.01861935443440976,2.134428320886152,0.03938567674250637,0.0038168685572163535,4.3579213887744693e-4,0.0028708691974485383,2.770265489420968e-4
SYN22-5,2,italic('Synechococcus ') (WH8102),Optics,6,2022-08-24,19:00:00,2022-11-27,2022-11-27T19:00:00Z,660,0.8611849377612817,0.05929173503204357,0.03409727716149096,0.00721735045749314,0.8270876605997907,0.05940757422763301,0.05772301853266713,0.00291150362044232,4.9802156094762235,0.20796454431730912,114821.33333333331,21146.651775951043,1.4673738100270284,0.04363335744021308,1.2353143358592036,0.02346841499433178,0.3886646268426546,0.01032184367234139,1.7934370710801273,0.01861935443440976,2.134428320886152,0.03938567674250637,0.0042919613701137916,3.3026083213089725e-4,0.005188111186948384,5.399864241358355e-5
SYN22-5,2,italic('Synechococcus ') (WH8102),Optics,7,2022-08-24,21:00:00,2022-11-27,2022-11-27T21:00:00Z,470,1.5812816962106917,0.09431886935866889,0.10739752655896086,0.00603312551647165,1.4738841696517309,0.09822790555977552,0.05682348772205216,0.00105024545693871,4.915963408718012,0.07501753263848024,124049,33724.170026851665,1.4649067773152271,0.04699964087161717,1.2327041973654105,0.02746619131731535,0.39045682170751494,0.01074826512028442,1.758340285884041,0.03934482607026007,2.134645039255778,0.03203400871308552,0.002438235295246958,3.040880792030217e-4,0.0016632959318900182,2.804277885189774e-4
