exp,exp_no,phyto,source,tp,datetime,date,time,plot_date,plot_datetime,mean_cells,sd_cells,mean_grn,sd_grn,mean_yel,sd_yel,mean_red,sd_red,mean_fsc,sd_fsc,mean_ssc,sd_ssc,mean_abs_line_height,sd_abs_line_height,mean_chl_line_height,sd_chl_line_height,wl,mean_bbp,sd_bbp,mean_bb_b,sd_bb_b
SYN22-4,1,italic('Synechococcus ') (WH8102),Optics,10,2022-08-17T07:00:00Z,2022-08-17,07:00:00,2022-11-28,2022-11-28T07:00:00Z,726272000000,199957000000,1.426625385796752,0.01145663508675105,1.2356588283728378,0.01265253797630417,0.37715570933598086,0.00638382836727686,1.6267131924716218,0.01575504041100292,2.1112436603390146,0.01253800587963981,0.04509985040351506,0.00112967036081875,5.490370231107217,0.10862215007872672,532,0.003287896965989221,5.252300629561309e-4,0.004321144364446547,2.1498545776713965e-4
SYN22-4,1,italic('Synechococcus ') (WH8102),Optics,10,2022-08-17T07:00:00Z,2022-08-17,07:00:00,2022-11-28,2022-11-28T07:00:00Z,726272000000,199957000000,1.426625385796752,0.01145663508675105,1.2356588283728378,0.01265253797630417,0.37715570933598086,0.00638382836727686,1.6267131924716218,0.01575504041100292,2.1112436603390146,0.01253800587963981,0.04509985040351506,0.00112967036081875,5.490370231107217,0.10862215007872672,660,0.0036781723490359078,3.2348603499722165e-4,0.007699389962404848,6.456140069711039e-4
SYN22-4,1,italic('Synechococcus ') (WH8102),Optics,11,2022-08-17T09:00:00Z,2022-08-17,09:00:00,2022-11-28,2022-11-28T09:00:00Z,938985000000,369244000000,1.4336237070229467,0.00378118391828794,1.252822787430336,0.008925028830929,0.3798799574959881,0.00280518232482511,1.599399054106422,0.01451778754862161,2.116611618626707,0.00448269718412042,0.04856411174395089,1.734931287076304e-4,5.823472283072201,0.01668203160650272,470,0.001910365341548786,5.621054495761038e-4,0.002210598625330523,8.299363456489887e-4
SYN22-4,1,italic('Synechococcus ') (WH8102),Optics,11,2022-08-17T09:00:00Z,2022-08-17,09:00:00,2022-11-28,2022-11-28T09:00:00Z,938985000000,369244000000,1.4336237070229467,0.00378118391828794,1.252822787430336,0.008925028830929,0.3798799574959881,0.00280518232482511,1.599399054106422,0.01451778754862161,2.116611618626707,0.00448269718412042,0.04856411174395089,1.734931287076304e-4,5.823472283072201,0.01668203160650272,532,0.0028102379466939664,1.1896178054176801e-4,0.003945260551483755,5.944399758967984e-4
SYN22-4,1,italic('Synechococcus ') (WH8102),Optics,11,2022-08-17T09:00:00Z,2022-08-17,09:00:00,2022-11-28,2022-11-28T09:00:00Z,938985000000,369244000000,1.4336237070229467,0.00378118391828794,1.252822787430336,0.008925028830929,0.3798799574959881,0.00280518232482511,1.599399054106422,0.01451778754862161,2.116611618626707,0.00448269718412042,0.04856411174395089,1.734931287076304e-4,5.823472283072201,0.01668203160650272,660,0.0032796697214499135,4.576416642850589e-4,0.007477148107814982,1.1778792090582746e-5
SYN22-4,1,italic('Synechococcus ') (WH8102),Optics,12,2022-08-17T11:00:00Z,2022-08-17,11:00:00,2022-11-28,2022-11-28T11:00:00Z,933758000000,306778000000,1.4630252494883436,0.01574228908188841,1.2564987762091917,0.00896855564255406,0.3790805162420066,0.00743816518373402,1.589386627863172,0.00809245385603129,2.10257103601776,0.01242857609886869,0.05005814076974897,5.082020137242264e-4,5.967128920168171,0.0488655782427139,470,0.003116692092574436,5.572630166841166e-5,0.0033501855782214346,6.222914729800164e-4
SYN22-4,1,italic('Synechococcus ') (WH8102),Optics,12,2022-08-17T11:00:00Z,2022-08-17,11:00:00,2022-11-28,2022-11-28T11:00:00Z,933758000000,306778000000,1.4630252494883436,0.01574228908188841,1.2564987762091917,0.00896855564255406,0.3790805162420066,0.00743816518373402,1.589386627863172,0.00809245385603129,2.10257103601776,0.01242857609886869,0.05005814076974897,5.082020137242264e-4,5.967128920168171,0.0488655782427139,532,0.003875805384955914,4.6865939342174235e-4,0.004873596643199642,2.842389117451424e-4
SYN22-4,1,italic('Synechococcus ') (WH8102),Optics,12,2022-08-17T11:00:00Z,2022-08-17,11:00:00,2022-11-28,2022-11-28T11:00:00Z,933758000000,306778000000,1.4630252494883436,0.01574228908188841,1.2564987762091917,0.00896855564255406,0.3790805162420066,0.00743816518373402,1.589386627863172,0.00809245385603129,2.10257103601776,0.01242857609886869,0.05005814076974897,5.082020137242264e-4,5.967128920168171,0.0488655782427139,660,0.0042934282498577345,4.345620486294562e-4,0.008416557108716608,0.0014273472157014966
SYN22-4,1,italic('Synechococcus ') (WH8102),Optics,13,2022-08-17T13:00:00Z,2022-08-17,13:00:00,2022-11-28,2022-11-28T13:00:00Z,873165000000,344459000000,1.4458943859626423,0.01448112531909313,1.2302743925425397,0.00661168875923059,0.3739654768653404,0.00547958234711859,1.6413832058879994,0.01313448594325675,2.0916333296580656,0.00964986741021298,0.05084069428781464,5.471266024192384e-4,6.042374450751408,0.05260832715569653,470,0.0024957955027652195,8.814242683122056e-4,0.002438398022092414,0.001008516945912964
SYN22-4,1,italic('Synechococcus ') (WH8102),Optics,13,2022-08-17T13:00:00Z,2022-08-17,13:00:00,2022-11-28,2022-11-28T13:00:00Z,873165000000,344459000000,1.4458943859626423,0.01448112531909313,1.2302743925425397,0.00661168875923059,0.3739654768653404,0.00547958234711859,1.6413832058879994,0.01313448594325675,2.0916333296580656,0.00964986741021298,0.05084069428781464,5.471266024192384e-4,6.042374450751408,0.05260832715569653,532,0.0030110594748130565,2.4595845006157417e-4,0.0034963377674267007,1.0098698282146343e-4
