----,
DateTime:,      2022/05/09, 23:30:04, 1652164203,
PIF:,             48.98,
PARs:,        0.0,     0.0,     0.0,     0.0,     0.0,     0.0,
Light:,       0.0,     0.0,     0.0,     0.0,     0.0,     0.0,
Lamps:,    #01000,
Gain:,           1,    5, 
S/N Ratio:,   122.11,
Position:,    0.0,        0.0,   NoData,
Cycles:,        2,
     1,        99,        100,        227,
   228,      3226,       3227,       3354,
DataPt,  Time(us),         EX,         EM,       Fit,
==========,==========,==========,==========,=========,
  243,   220385.8,    187.227,      62.789,
  244,   220425.8,    187.239,      64.751,
  245,   220465.8,    187.289,      66.538,
  246,   220505.8,    187.364,      65.270,
  247,   220545.8,    187.390,      65.921,
  248,   220585.8,    187.428,      66.845,
  249,   220625.8,    187.429,      66.132,
  250,   220665.8,    187.418,      67.926,
  251,   220705.8,    187.368,      66.726,
  252,   220745.8,    187.471,      68.509,
  253,   220785.8,    187.446,      68.861,
  254,   220825.8,    187.446,      67.783,
  255,   220865.8,    187.472,      67.240,
  256,   220905.8,    187.472,      68.848,
  257,   220945.8,    187.499,      70.063,
  258,   220985.8,    187.447,      68.986,
  259,   221025.8,    187.460,      68.995,
  260,   221065.8,    187.460,      69.729,
  261,   221105.8,    187.486,      70.278,
  262,   221145.8,    187.461,      71.348,
  263,   221185.8,    187.498,      71.342,
  264,   221225.8,    187.485,      71.695,
  265,   221265.8,    187.472,      72.768,
  266,   221305.8,    187.549,      71.187,
  267,   221345.8,    187.562,      72.075,
  268,   221385.8,    187.487,      72.393,
  269,   221425.8,    187.488,      72.747,
  270,   221465.8,    187.513,      72.334,
  271,   221505.8,    187.539,      72.342,
  272,   221545.8,    187.603,      73.629,
  273,   221585.8,    187.552,      71.518,
  274,   221625.8,    187.528,      72.823,
  275,   221665.8,    187.540,      73.022,
  276,   221705.8,    187.514,      75.475,
  277,   221745.8,    187.566,      74.188,
  278,   221785.8,    187.618,      73.991,
  279,   221825.8,    187.530,      74.703,
  280,   221865.8,    187.570,      73.462,
  281,   221905.8,    187.569,      75.220,
  282,   221945.8,    187.556,      74.673,
  283,   221985.8,    187.605,      74.219,
  284,   222025.8,    187.631,      73.696,
  285,   222065.8,    187.608,      75.654,
  286,   222105.8,    187.495,      76.182,
  287,   222145.8,    187.585,      74.994,
  288,   222185.8,    187.509,      76.373,
  289,   222225.8,    187.598,      75.845,
  290,   222265.8,    187.635,      74.100,
  291,   222305.8,    187.586,      74.427,
  292,   222345.8,    187.598,      74.557,
  293,   222385.8,    187.636,      75.955,
  294,   222425.8,    187.649,      76.875,
  295,   222465.8,    187.560,      76.879,
  296,   222505.8,    187.548,      77.699,
  297,   222545.8,    187.535,      75.760,
  298,   222585.8,    187.536,      75.757,
  299,   222625.8,    187.600,      76.646,
  300,   222665.8,    187.651,      76.972,
  301,   222705.8,    187.675,      76.413,
  302,   222745.8,    187.624,      75.307,
  303,   222785.8,    187.573,      76.873,
