exp,exp_no,phyto,source,tp,datetime,date,time,plot_date,plot_datetime,mean_cells,sd_cells,mean_grn,sd_grn,mean_yel,sd_yel,mean_red,sd_red,mean_fsc,sd_fsc,mean_ssc,sd_ssc
SYN22-4,1,italic('Synechococcus ') (WH8102),Culture,2,2022-08-16T11:00:00Z,2022-08-16,11:00:00,2022-11-27,2022-11-27T11:00:00Z,7400570,272328.03463837504,1.531183730566092,0.005676775623760916,1.3307510445729371,0.0017437091836097142,0.43047852390778096,0.0029193500284875433,1.6322479722922676,0.02608752227365426,2.1707136110492073,0.013211504797702911
SYN22-4,1,italic('Synechococcus ') (WH8102),Culture,3,2022-08-16T13:00:00Z,2022-08-16,13:00:00,2022-11-27,2022-11-27T13:00:00Z,6982855,36946.32931699711,1.5613144101193883,0.012123776808793278,1.3139013094484377,0.0438824929539265,0.42537017088574436,0.007627778996081525,1.6848170710233397,0.019340028293483996,2.177366659129996,0.004638882581746309
SYN22-4,1,italic('Synechococcus ') (WH8102),Culture,4,2022-08-16T15:00:00Z,2022-08-16,15:00:00,2022-11-27,2022-11-27T15:00:00Z,7682722.5,717674.4920313805,1.546513446889178,0.014276914210718559,1.3573629178751918,0.02341150235877767,0.45911383058612365,0.009272607344199055,1.768470921294913,0.008352515535693942,2.143428604600413,9.657990220946993e-4
SYN22-4,1,italic('Synechococcus ') (WH8102),Culture,5,2022-08-16T17:00:00Z,2022-08-16,17:00:00,2022-11-27,2022-11-27T17:00:00Z,7365085,397599.0719933838,1.5571722660578629,0.03785380898091001,1.3415552164757543,0.046675987874100586,0.43564449399013067,0.010971167585247557,1.890383626888021,0.020168047218385353,2.1993381733774306,0.009138573262358859
SYN22-4,1,italic('Synechococcus ') (WH8102),Culture,6,2022-08-16T19:00:00Z,2022-08-16,19:00:00,2022-11-27,2022-11-27T19:00:00Z,9003275,57770.62402294093,1.5401122481856542,0.033673090545174277,1.3383926906223405,0.04865965782653617,0.45315814706351426,0.009116051904141002,1.911770674612273,0.026537387828345818,2.209601580561941,0.018406275373028014
SYN22-4,1,italic('Synechococcus ') (WH8102),Culture,7,2022-08-16T21:00:00Z,2022-08-16,21:00:00,2022-11-27,2022-11-27T21:00:00Z,10477490,789626.1425510176,1.5332493667435247,0.040244157498640985,1.3349984520150193,0.06008013852530281,0.4573100948932596,0.018038755768914214,1.9040019032886513,0.012464293383475412,2.2227294176595187,0.006252085779682904
SYN22-4,1,italic('Synechococcus ') (WH8102),Culture,8,2022-08-16T23:00:00Z,2022-08-16,23:00:00,2022-11-27,2022-11-27T23:00:00Z,10547415,489720.9434463672,1.516817995337648,0.029871433606614085,1.3050735926863197,0.013999578108953739,0.4589609426248889,0.0020899421566620423,1.8568978433342611,0.004533247175610062,2.2235632799425593,0.008825755962407218
SYN22-4,1,italic('Synechococcus ') (WH8102),Culture,9,2022-08-17T03:00:00Z,2022-08-17,03:00:00,2022-11-28,2022-11-28T03:00:00Z,9878205,49278.2715808905,1.531283026580062,0.029284661719256488,1.3415303765018556,0.02410091012317782,0.4560560849840648,0.007988092262404215,1.7775109599122454,0.007145363899016137,2.2414664962517836,0.013956876168884668
SYN22-4,1,italic('Synechococcus ') (WH8102),Culture,10,2022-08-17T07:00:00Z,2022-08-17,07:00:00,2022-11-28,2022-11-28T07:00:00Z,10034122.5,1165640.7800486821,1.5153295079110256,0.012336774062902855,1.3356914022674164,0.00912666456663055,0.4561829399903238,0.0028899323239235768,1.682527330030273,0.027331765165301943,2.220505910757697,0.01886065004870094
SYN22-4,1,italic('Synechococcus ') (WH8102),Culture,11,2022-08-17T09:00:00Z,2022-08-17,09:00:00,2022-11-28,2022-11-28T09:00:00Z,9632230,152218.8767860281,1.5218764770049091,0.004364477554375583,1.3389050086784935,0.004709779475905424,0.4540354354257597,0.005040780394574917,1.6516683078401213,0.006742695676452643,2.198894176216722,0.04007634225247921
